[2025-10-22 21:33:02] Regel: sommer | Zeit: 21:33 | Tor: ZU
[2025-10-22 21:34:01] Regel: sommer | Zeit: 21:34 | Tor: ZU
[2025-10-22 21:35:01] Regel: sommer | Zeit: 21:35 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 21:36:01] Regel: sommer | Zeit: 21:36 | Tor: ZU
[2025-10-22 21:37:01] Regel: sommer | Zeit: 21:37 | Tor: ZU
[2025-10-22 21:38:01] Regel: sommer | Zeit: 21:38 | Tor: ZU
[2025-10-22 21:39:01] Regel: sommer | Zeit: 21:39 | Tor: ZU
[2025-10-22 21:40:02] Regel: sommer | Zeit: 21:40 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 21:41:01] Regel: sommer | Zeit: 21:41 | Tor: ZU
[2025-10-22 21:42:02] Regel: sommer | Zeit: 21:42 | Tor: ZU
[2025-10-22 21:43:01] Regel: sommer | Zeit: 21:43 | Tor: ZU
[2025-10-22 21:44:01] Regel: sommer | Zeit: 21:44 | Tor: ZU
[2025-10-22 21:45:01] Regel: sommer | Zeit: 21:45 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 21:46:01] Regel: sommer | Zeit: 21:46 | Tor: ZU
[2025-10-22 21:47:01] Regel: sommer | Zeit: 21:47 | Tor: ZU
[2025-10-22 21:48:01] Regel: sommer | Zeit: 21:48 | Tor: ZU
[2025-10-22 21:49:02] Regel: sommer | Zeit: 21:49 | Tor: ZU
[2025-10-22 21:50:01] Regel: sommer | Zeit: 21:50 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 21:51:01] Regel: sommer | Zeit: 21:51 | Tor: ZU
[2025-10-22 21:52:01] Regel: sommer | Zeit: 21:52 | Tor: ZU
[2025-10-22 21:53:01] Regel: sommer | Zeit: 21:53 | Tor: ZU
[2025-10-22 21:54:01] Regel: sommer | Zeit: 21:54 | Tor: ZU
[2025-10-22 21:55:01] Regel: sommer | Zeit: 21:55 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 21:56:01] Regel: sommer | Zeit: 21:56 | Tor: ZU
[2025-10-22 21:57:01] Regel: sommer | Zeit: 21:57 | Tor: ZU
[2025-10-22 21:58:01] Regel: sommer | Zeit: 21:58 | Tor: ZU
[2025-10-22 21:59:01] Regel: sommer | Zeit: 21:59 | Tor: ZU
[2025-10-22 22:00:01] Regel: sommer | Zeit: 22:00 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:01:01] Regel: sommer | Zeit: 22:01 | Tor: ZU
[2025-10-22 22:02:01] Regel: sommer | Zeit: 22:02 | Tor: ZU
[2025-10-22 22:03:01] Regel: sommer | Zeit: 22:03 | Tor: ZU
[2025-10-22 22:04:01] Regel: sommer | Zeit: 22:04 | Tor: ZU
[2025-10-22 22:05:01] Regel: sommer | Zeit: 22:05 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:06:01] Regel: sommer | Zeit: 22:06 | Tor: ZU
[2025-10-22 22:07:01] Regel: sommer | Zeit: 22:07 | Tor: ZU
[2025-10-22 22:08:01] Regel: sommer | Zeit: 22:08 | Tor: ZU
[2025-10-22 22:09:01] Regel: sommer | Zeit: 22:09 | Tor: ZU
[2025-10-22 22:10:01] Regel: sommer | Zeit: 22:10 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:11:01] Regel: sommer | Zeit: 22:11 | Tor: ZU
[2025-10-22 22:12:02] Regel: sommer | Zeit: 22:12 | Tor: ZU
[2025-10-22 22:13:01] Regel: sommer | Zeit: 22:13 | Tor: ZU
[2025-10-22 22:14:01] Regel: sommer | Zeit: 22:14 | Tor: ZU
[2025-10-22 22:15:01] Regel: sommer | Zeit: 22:15 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:16:01] Regel: sommer | Zeit: 22:16 | Tor: ZU
[2025-10-22 22:17:01] Regel: sommer | Zeit: 22:17 | Tor: ZU
[2025-10-22 22:18:02] Regel: sommer | Zeit: 22:18 | Tor: ZU
[2025-10-22 22:19:01] Regel: sommer | Zeit: 22:19 | Tor: ZU
[2025-10-22 22:20:01] Regel: sommer | Zeit: 22:20 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:21:01] Regel: sommer | Zeit: 22:21 | Tor: ZU
[2025-10-22 22:22:01] Regel: sommer | Zeit: 22:22 | Tor: ZU
[2025-10-22 22:23:01] Regel: sommer | Zeit: 22:23 | Tor: ZU
[2025-10-22 22:24:01] Regel: sommer | Zeit: 22:24 | Tor: ZU
[2025-10-22 22:25:01] Regel: sommer | Zeit: 22:25 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:26:01] Regel: sommer | Zeit: 22:26 | Tor: ZU
[2025-10-22 22:27:01] Regel: sommer | Zeit: 22:27 | Tor: ZU
[2025-10-22 22:28:01] Regel: sommer | Zeit: 22:28 | Tor: ZU
[2025-10-22 22:29:01] Regel: sommer | Zeit: 22:29 | Tor: ZU
[2025-10-22 22:30:01] Regel: sommer | Zeit: 22:30 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:31:01] Regel: sommer | Zeit: 22:31 | Tor: ZU
[2025-10-22 22:32:01] Regel: sommer | Zeit: 22:32 | Tor: ZU
[2025-10-22 22:33:01] Regel: sommer | Zeit: 22:33 | Tor: ZU
[2025-10-22 22:34:01] Regel: sommer | Zeit: 22:34 | Tor: ZU
[2025-10-22 22:35:01] Regel: sommer | Zeit: 22:35 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:36:01] Regel: sommer | Zeit: 22:36 | Tor: ZU
[2025-10-22 22:37:01] Regel: sommer | Zeit: 22:37 | Tor: ZU
[2025-10-22 22:38:01] Regel: sommer | Zeit: 22:38 | Tor: ZU
[2025-10-22 22:39:01] Regel: sommer | Zeit: 22:39 | Tor: ZU
[2025-10-22 22:40:01] Regel: sommer | Zeit: 22:40 | Tor: ZU → Schließimpuls gesendet
